,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10250,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem']",21000000.0,19411825.0,19411825.0,False,,1,,,,2023-06-25T18:37:00.000Z,30406.36319977998,12596017426.90578,-15.1472,-0.60336495,-0.86869481,14.3244152,13.8005087,2.11928574,12.2637979,590243001320.569,49.8712,638533627195.38,,2023-06-25T18:37:00.000Z,,,,,,2023-06-25 18:40:11.974156
1,1027,Ethereum,ETH,ethereum,7033,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,120191632.87882815,120191632.87882815,True,,2,,,,2023-06-25T18:37:00.000Z,1889.0157870996798,6753925443.946944,15.5069,-0.14934025,0.09306508,8.65051735,3.2262419,-3.04497684,10.19481586,227043891985.39532,19.1835,227043891985.4,,2023-06-25T18:37:00.000Z,,,,,,2023-06-25 18:40:11.974156
2,825,Tether,USDT,tether,55844,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83212018333.0169,85733529362.30705,True,,3,,,,2023-06-25T18:37:00.000Z,1.000470475674998,21628337593.333916,-7.2797,-0.01446615,-0.0116882,0.06184841,0.01100653,0.04720428,0.00630477,83251167563.51009,7.0397,85773864902.4,,2023-06-25T18:37:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-06-25 18:40:11.974156
3,1839,BNB,BNB,bnb,1468,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token']",,155852163.06168166,155852163.06168166,False,,4,,,,2023-06-25T18:37:00.000Z,237.47924090210557,430776670.099251,-24.1024,-0.50213466,0.83488134,-3.4289084,-22.51055762,-30.39610702,-22.79577479,37011653376.83934,3.1272,37011653376.84,,2023-06-25T18:37:00.000Z,,,,,,2023-06-25 18:40:11.974156
4,3408,USD Coin,USDC,usd-coin,13092,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,28472030219.58967,28472030219.58967,False,,5,,,,2023-06-25T18:37:00.000Z,0.999960712160619,2752891725.3683414,-11.1442,-0.03013401,-0.01214414,-0.01906069,-0.00838656,0.01179267,0.02165322,28470911615.03955,2.4075,28470911615.04,,2023-06-25T18:37:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-06-25 18:40:11.974156
5,52,XRP,XRP,xrp,969,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'sec-security-token']",100000000000.0,52254289650.0,99988655562.0,False,,6,,,,2023-06-25T18:37:00.000Z,0.48837774645121534,683812520.622465,-13.6254,-0.41746582,0.24086615,-0.59021325,5.24177699,2.17185011,4.52526637,25519832221.676067,2.1558,48837774645.12,,2023-06-25T18:37:00.000Z,,,,,,2023-06-25 18:40:11.974156
6,2010,Cardano,ADA,cardano,842,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token']",45000000000.0,34935476074.443,35921478500.889,False,,7,,,,2023-06-25T18:37:00.000Z,0.2926227539356035,237163990.9923131,8.1251,-0.40279901,1.17464024,9.48476468,-19.55765278,-29.12207175,-14.58708736,10222915218.954897,0.8636,13168023927.1,,2023-06-25T18:37:00.000Z,,,,,,2023-06-25 18:40:11.974156
7,74,Dogecoin,DOGE,dogecoin,731,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,139915466383.70523,139915466383.70523,True,,8,,,,2023-06-25T18:37:00.000Z,0.06670913138111675,193062665.32133183,-36.8219,-0.56784245,0.22244105,6.3924664,-5.74958404,-18.92349743,-8.06557935,9333639229.240816,0.7886,9333639229.24,,2023-06-25T18:37:00.000Z,,,,,,2023-06-25 18:40:11.974156
8,5426,Solana,SOL,solana,475,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'sec-security-token']",,399787384.19723845,550828320.9790131,True,,9,,,,2023-06-25T18:37:00.000Z,17.052283725559676,253421021.2530529,-19.246,-0.37696675,2.59923861,8.45085089,-12.06358363,-25.03495667,-14.27567861,6817287905.230642,0.5763,9392880813.41,,2023-06-25T18:37:00.000Z,,,,,,2023-06-25 18:40:11.974156
9,1958,TRON,TRX,tron,773,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'sec-security-token']",,89976505060.10197,89976544260.0095,True,,10,71659659264.0,5251800053.31695,,2023-06-25T18:37:00.000Z,0.07328809691892188,143768273.6947681,-10.2825,-0.10782791,1.46052123,4.05657993,-3.92103277,9.91548716,15.47989055,6594206823.270618,0.5574,6594209696.16,,2023-06-25T18:37:00.000Z,,,,,,2023-06-25 18:40:11.974156
10,2,Litecoin,LTC,litecoin,927,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,73224601.72743528,84000000.0,False,,11,,,,2023-06-25T18:37:00.000Z,88.00273312110548,502518601.0657815,-30.9484,-0.05474374,-1.20969748,12.8703921,0.6256038,-4.25485234,-0.74701168,6443965083.718726,0.5445,7392229582.17,,2023-06-25T18:37:00.000Z,,,,,,2023-06-25 18:40:11.974156
11,3890,Polygon,MATIC,polygon,747,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'sec-security-token']",10000000000.0,9289469069.28493,10000000000.0,False,,12,,,,2023-06-25T18:37:00.000Z,0.6635390995385545,281722994.0510053,4.3196,-0.86540362,0.06736676,8.15571857,-26.81653641,-35.99363369,-36.26941578,6163925941.424576,0.5208,6635390995.39,,2023-06-25T18:37:00.000Z,,,,,,2023-06-25 18:40:11.974156
12,6636,Polkadot,DOT,polkadot-new,517,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1198404132.6231234,1327883009.9283032,True,,13,,,,2023-06-25T18:37:00.000Z,5.134132631445238,139136067.7525328,6.7628,-0.47074629,2.8485905,12.07269943,-2.13873496,-16.52196085,-12.1552612,6152765762.959204,0.5201,6817527492.01,,2023-06-25T18:37:00.000Z,,,,,,2023-06-25 18:40:11.974156
13,11419,Toncoin,TON,toncoin,115,2021-08-26T13:40:22.000Z,['pos'],,3431892087.62,5047558528.0,True,,14,3414166606.0,4998785115.23637,,2023-06-25T18:37:00.000Z,1.464130399041332,10879544.56918843,29.2351,-0.73257943,4.65253618,3.3245208,-23.60169341,-35.87486207,-31.1108509,5024737531.7138605,0.4249,7390283881.79,,2023-06-25T18:37:00.000Z,,,,,,2023-06-25 18:40:11.974156
14,3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,1259,2019-01-30T00:00:00.000Z,"['medium-of-exchange', 'defi', 'wrapped-tokens', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'optimism-ecosystem', 'bitcoin-ecosystem']",,157426.4558355,157426.4558355,False,,15,,,,2023-06-25T18:37:00.000Z,30416.697688229506,141825148.52762395,5.5081,-0.42529477,-0.61135489,14.39134325,13.83060703,2.2976728,12.30349046,4788392915.277818,0.4049,4788392915.28,,2023-06-25T18:37:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2023-06-25 18:40:11.974156
